stationid,county,smcshed,latitude,longitude,stationcode,sampledate,projectcode,eventcode,protocolcode,agencycode,samplecomments,locationcode,geometryshape,collectiontime,collectionmethodcode,sampletypecode,replicate,collectiondevicename,sievesize,collectiondepth,unitcollectiondepth,sampleid,benthiccollectioncomments,grabsize,unitgrabsize,replicatename,replicatecollectiondate,numberjars,benthiccollectiondetailcomments,agencycode_labeffort,personnelcode_labeffort,percentsamplecounted,totalgrids,gridsanalyzed,gridsvolumeanalyzed,targetorganismcount,actualorganismcount,extraorganismcount,qcorganismcount,discardedorganismcount,effortqacode,benthiclabeffortcomments,finalid,lifestagecode,baresult,result,unitname,resqualcode,qacode,compliancecode,batchverificationcode,taxonomicqualifier,excludedtaxa,personnelcode_result,labsampleid,enterdate,benthicresultcomments,distinctcode,record_origin,origin_lastupdatedate,record_publish
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Encyonopsis microcephala,NR,6.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
SGUT503,Los Angeles,San Gabriel,34.29216000,-117.83856000,SGUT503,2009-05-08,SGRRMP_2009,BA,SWAMP_2007_WS,ABCL,,X,,1899-12-30 12:00:00,Not Recorded,Integrated,1.00000000,,None,-88.00000000,m,,,116.70000000,cm2,,,1.00000000,522,UCOB,"Kociolek, P.",,,,,600.00000000,600.00000000,,,,None,,Encyonopsis microcephala,NR,69.00000000,,count,=,None,Pend,NR,None,,"Kociolek, P.",3410,2010-04-05,,0E-8,SMC,2016-01-23,true
SGUT503,Los Angeles,San Gabriel,34.29216000,-117.83856000,SGUT503,2009-05-08,SGRRMP_2009,BA,SWAMP_2007_WS,ABCL,,X,,1899-12-30 12:00:00,Not Recorded,Integrated,1.00000000,,None,-88.00000000,m,,,116.70000000,cm2,,,1.00000000,522,UCOB,"Kociolek, P.",,,,,600.00000000,600.00000000,,,,None,,Eolimna tantula,NR,2.00000000,,count,=,None,Pend,NR,None,,"Kociolek, P.",3410,2010-04-05,,0E-8,SMC,2016-01-23,true
SGUT503,Los Angeles,San Gabriel,34.29216000,-117.83856000,SGUT503,2009-05-08,SGRRMP_2009,BA,SWAMP_2007_WS,ABCL,,X,,1899-12-30 12:00:00,Not Recorded,Integrated,1.00000000,,None,-88.00000000,m,,,116.70000000,cm2,,,1.00000000,522,UCOB,"Kociolek, P.",,,,,600.00000000,600.00000000,,,,None,,Reimeria sinuata,NR,10.00000000,,count,=,None,Pend,NR,None,,"Kociolek, P.",3410,2010-04-05,,0E-8,SMC,2016-01-23,true
SGUT503,Los Angeles,San Gabriel,34.29216000,-117.83856000,SGUT503,2009-05-08,SGRRMP_2009,BA,SWAMP_2007_WS,ABCL,,X,,1899-12-30 12:00:00,Not Recorded,Integrated,1.00000000,,None,-88.00000000,m,,,116.70000000,cm2,,,1.00000000,522,UCOB,"Kociolek, P.",,,,,600.00000000,600.00000000,,,,None,,Sellaphora joubaudii,NR,6.00000000,,count,=,None,Pend,NR,None,,"Kociolek, P.",3410,2010-04-05,,0E-8,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Eolimna subminuscula,NR,2.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Gomphonema parvulum,NR,18.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Gomphonema pseudoaugur,NR,1.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Halamphora,NR,3.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,0E-8,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Navicula veneta,NR,5.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Nitzschia amphibia,NR,7.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Nitzschia aurariae,NR,4.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Nitzschia frustulum,NR,3.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Nitzschia inconspicua,NR,6.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Nitzschia microcephala,NR,18.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Seminavis pusilla,NR,2.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Staurosira construens var venter,NR,42.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,Rhithron,"Davis, C.",,,,,600.00000000,600.00000000,,,,None,,Tabularia fasciculata,NR,2.00000000,,Count,=,None,,,None,NA,"Davis, C.",ABCA16P7002,2016-09-02,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Achnanthidium minutissimum,NR,23.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Achnanthidium rivulare,NR,1.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Amphora inariensis,NR,10.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Amphora ovalis,NR,2.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Amphora pediculus,NR,372.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Caloneis bacillum,NR,10.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Cocconeis pediculus,NR,5.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Cocconeis placentula,NR,31.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Cyclotella meneghiniana,NR,1.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Cymbella mexicana,NR,4.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Diadesmis contenta,NR,2.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Ellerbeckia arenaria,NR,7.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Eolimna minima,NR,5.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Fallacia lenzii,NR,1.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Fragilaria mesolepta,NR,1.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Gyrosigma attenuatum,NR,2.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Melosira varians,NR,1.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Navicula caterva,NR,4.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Navicula cryptotenella,NR,5.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Navicula cryptotenelloides,NR,5.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Navicula gregaria,NR,2.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
405PS0036,Los Angeles,San Gabriel,34.24118000,-117.93426000,405PS0036,2016-07-11,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:15:00,,Integrated,1.00000000,RubDelim & PVCDelim,None,,,SGUR0036,,87.50000000,cm2,,,,,Rhithron,"Vander Meer, D.",,,,,600.00000000,601.00000000,,,,None,,Navicula tripunctata,NR,22.00000000,,Count,=,None,,,None,NA,"Vander Meer, D.",ABCA16P8001,2016-09-30,,1.00000000,SMC,2016-01-23,true
SMC01278,Los Angeles,San Gabriel,33.82099000,-118.06645000,SMC01278,2016-06-23,SMC_SGRRMP_2016,,,ABCL,,,,1899-12-30 09:55:00,,Microalgae,1.00000000,RubDelim & PVCDelim,None,,,SGLR01278,,58.30000000,cm2,,,,,"Rhithron Associates, Inc.",Ana Burliga,,,,,300.00000000,308.00000000,,,,None,,Oocystis,NR,,296367,um3/cm2,=,None,,,None,NA,Ana Burliga,ABCA16P7002,2016-09-22,,0E-8,SMC,2016-01-23,true
